SMILES,ID,target_class,MW,XLogP
CC(=O)Nc1ccc(cc1)C2=NN(C(C2)c3ccccc3)c4ccccc4,1319928,gpcr,355.43,4.97
c1ccc(c(c1)C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,364900,gpcr,354.49,6.57
CN(C)CCOc1cc(ccc1OC)N2CCN(C2=O)c3ccc(c(c3)Cl)Cl,196953,gpcr,424.32,4.3
Cc1c2ccccc2nc(n1)NC3=NC(CC(=N3)C)(C)C,1361034,gpcr,281.36,2.9
CN(C)CC1(C[C@@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cccc(n5)F,461135,gpcr,498.46,7.62
c1nc2c(nc(nc2n1C3[C@@H]([C@@H]([C@H](O3)CO)O)O)C#CCCC4CCCCC4)N,608298,gpcr,401.46,2.17
CCCCOc1cc(nc(c1)C(=O)N[C@@H](CCC(=O)O)C(=O)N2CCN(CC2)C(=O)OCC=C)c3ccccc3,563429,gpcr,552.62,2.91
COc1ccc2c(c1)C(CCC2)CCCCN3CCN(CC3)c4ccccc4OC,172363,gpcr,408.58,5.29
CN(CCc1ccc(cc1)Br)C(=O)Cc2ccc(cc2)OCCCCOc3ccc(cc3OC)CC(=O)O,390870,gpcr,584.5,6.24
CCCS(=O)(=O)Nc1cccc(c1)OCc2nc3ccccc3n2C,17169,gpcr,359.44,4.2
Cn1c(c2c(n1)nc(n3c2nc(n3)c4ccco4)N)N5CCN(CC5)C.Cl.Cl,553587,gpcr,426.3,4.27
Cc1cccc(c1)n2c(n/c(=N\C)/s2)c3ccccc3,351012,gpcr,281.38,5.01
Cc1cc(nc(n1)NS(=O)(=O)c2ccccc2)C,1437833,gpcr,263.32,1.45
Cc1cccc(c1)N2CCN(CC2)CCCCN3C(=O)CSC3(C)C,434619,gpcr,361.54,3.82
C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc(c(cc2C1=O)Cl)Cl)CCCN3C(=O)c4ccccc4C3=O.[Br-].[Br-],262448,gpcr,777.41,7.66
CC(C)NC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)CC(C)(C)N,1078115,gpcr,404.53,2.56
CC(=O)N(C)CC#CCN1CCC(C1)F,273976,gpcr,212.26,1.3
CC1=C([C@H](/C(=C(\O)/OC(=O)C2=C(N=C(/C(=C(/O)\OC)/[C@H]2c3cccc(c3)[N+](=O)[O-])C)C)/C(=N1)C)c4cccc(c4)[N+](=O)[O-])C(=O)OC,304180,gpcr,646.6,4.61
CN1/C(=C/c2c[nH]c3c2cc(cc3)F)/C(=O)N(C1=N)C,1173332,gpcr,272.28,3.02
c1cc(c(cc1Cl)F)CN2CCC(CC2)NCC3CCCCC3,469576,gpcr,338.89,5.05
CCCCCOc1c(ccc2c1nc(c(c2)C(=O)NCCc3c[nH]c4c3cccc4)O)OC,381969,gpcr,447.53,5.63
Cc1cc(c2c(c1)nc(s2)N(CCCN(C)C)C(=O)c3ccc(cc3)S(=O)(=O)N4CCc5ccccc5C4)C.Cl,1318088,gpcr,599.21,7.61
CN1CCN(CC1)CCCN(C2CCc3cc(ccc3C2)OC)C(=O)Nc4ccc(c(c4)Cl)F,217182,gpcr,489.03,4.22
Cc1cc(no1)NC(=O)CS(=O)(=O)c2cn(c3c2cccc3)Cc4cc(ccc4F)Br,1357815,gpcr,506.34,4.41
CC1(CCN(CC1)C(=O)c2cccc3c2cccc3)N4CCC(CC4)N(c5ccccc5)c6cccnc6,401929,gpcr,504.67,6.55
CC1CNCCc2c1cc(c(c2)OC)Br,180815,gpcr,270.17,2.88
CNCCc1c[nH]cn1,268490,gpcr,125.17,0.38
c1ccc(c(c1)C(C(=O)O)Oc2cc(ccc2C#N)OCc3ccsc3)C(F)(F)F,170715,gpcr,433.4,5.2
COc1ccc(cc1OC)c2nc(on2)CSc3nc(cc(n3)O)c4ccccc4,1545114,gpcr,422.46,5.1
c1ccc(cc1)C[C@@H](C(=O)N)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@@H]4CCCN(C4)C(=O)[C@H](Cc5ccc(cc5)O)N,503762,gpcr,624.73,3.23
C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)C(=O)N)CC3CC3,334700,gpcr,286.41,3.7
Cc1ccc2c(c1)n(c(=N)n2CC(=O)c3ccc(cc3)Cl)C,256647,gpcr,313.78,3.39
c1ccc(cc1)/C=C(/C=N/NC(=O)c2cnccn2)\Br,1529442,gpcr,331.17,2.0
CO/N=C(/C12CCCN(C1)CC2)\Br,335324,gpcr,247.13,1.79
